scheme_code,fund_name,fund_type,nav,nav_change_pct
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,Debt,14.0074,0.0
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,Debt,11.1552,0.0
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,Debt,10.1449,0.0
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,Debt,24.3549,0.0
129006,Franklin India Banking & PSU Debt Fund - Growth,Debt,23.2689,0.0
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,Debt,11.5372,0.0
129007,Franklin India Banking and PSU Debt Fund - IDCW ,Debt,10.9096,0.0
128628,HDFC Banking and PSU Debt Fund - Growth Option,Debt,23.6474,0.0
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,Debt,24.6794,0.0
128627,HDFC Banking and PSU Debt Fund - IDCW Option,Debt,10.1353,0.0
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,Debt,10.0277,0.0
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,Debt,11.1907,0.0
151107,HSBC Banking and PSU Debt Fund - Direct Growth,Debt,26.3377,0.0
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,Debt,11.2132,0.0
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,Debt,10.352,0.0
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,Debt,11.1137,0.0
151104,HSBC Banking and PSU Debt Fund - Regular Growth,Debt,24.9565,0.0
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,Debt,10.4437,0.0
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,Debt,10.3223,0.0
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,Debt,10.0549,0.0
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,Debt,10.2427,0.0
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,Debt,15.8889,0.0
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,Debt,10.2538,0.0
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,Debt,35.274,0.0
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,Debt,12.9688,0.0
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,Debt,10.3708,0.0
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,Debt,13.8665,0.0
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,Debt,13.1098,0.0
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,Debt,33.771,0.0
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,Debt,10.9742,0.0
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,Debt,12.9261,0.0
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,Debt,10.0122,0.0
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,Debt,21.631,0.0
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,Debt,10.3305,0.0
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,Debt,2497.2776,0.0
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),Debt,1064.2343,0.0
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),Debt,1011.3119,0.0
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),Debt,1050.8858,0.0
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,Debt,2327.2859,0.0
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),Debt,1061.9538,0.0
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,Debt,13.7824,0.0
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,Debt,13.7844,0.0
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,Debt,13.387,0.0
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,Debt,13.3882,0.0
123690,Kotak Banking and PSU Debt - Growth,Debt,67.4488,0.0
